t_rel_s,code,label,time_unix,time_lsl,time_perf,offset_unix_minus_lsl,time_webapp,webapp_minus_local_ms,inserted_to_board,raw
121.142117,341.000000,341,1788108857.581294,326184.713265,101019.598748,1787782672.868029,1788108857.580000,-1.294136,True,"{""marker"":341,""timestamp"":1788108857.58}"
121.515382,220.000000,220,1788108857.954559,326185.086528,101019.972010,1787782672.868031,1788108857.953000,-1.558781,True,"{""marker"":220,""timestamp"":1788108857.953}"
121.829645,220.000000,220,1788108858.268822,326185.400791,101020.286272,1787782672.868031,1788108858.267000,-1.821995,True,"{""marker"":220,""timestamp"":1788108858.267}"
121.830070,301.000000,301,1788108858.269247,326185.401214,101020.286694,1787782672.868033,1788108858.267000,-2.247095,True,"{""marker"":301,""timestamp"":1788108858.267}"
122.441752,311.000000,311,1788108858.880929,326186.012896,101020.898377,1787782672.868033,1788108858.880000,-0.928879,True,"{""marker"":311,""timestamp"":1788108858.88}"
123.590182,321.000000,321,1788108860.029359,326187.161327,101022.046810,1787782672.868032,1788108860.028000,-1.359224,True,"{""marker"":321,""timestamp"":1788108860.028}"
124.168082,341.000000,341,1788108860.607260,326187.739227,101022.624710,1787782672.868032,1788108860.606000,-1.259565,True,"{""marker"":341,""timestamp"":1788108860.606}"
124.570664,220.000000,220,1788108861.009841,326188.141808,101023.027290,1787782672.868032,1788108861.008000,-1.841068,True,"{""marker"":220,""timestamp"":1788108861.008}"
124.920896,220.000000,220,1788108861.360073,326188.492038,101023.377521,1787782672.868034,1788108861.358000,-2.072573,True,"{""marker"":220,""timestamp"":1788108861.358}"
124.921137,301.000000,301,1788108861.360314,326188.492278,101023.377757,1787782672.868036,1788108861.358000,-2.313852,True,"{""marker"":301,""timestamp"":1788108861.358}"
125.444225,311.000000,311,1788108861.883402,326189.015366,101023.900846,1787782672.868036,1788108861.882000,-1.401901,True,"{""marker"":311,""timestamp"":1788108861.882}"
126.505612,321.000000,321,1788108862.944789,326190.076753,101024.962236,1787782672.868036,1788108862.943000,-1.788855,True,"{""marker"":321,""timestamp"":1788108862.943}"
126.951276,341.000000,341,1788108863.390453,326190.522417,101025.407899,1787782672.868036,1788108863.389000,-1.452684,True,"{""marker"":341,""timestamp"":1788108863.389}"
